External_Customer_Id__c,Name,Arrears_Balance__c,Oldest_Debt_Days__c,Current_Plan__c,Missed_Payments_90d__c,Partial_Payments_90d__c,Hardship_Status__c,Hardship_Entered_At__c,Hardship_Review_Due_At__c,Financial_Stress_Signal__c,Financial_Stress_Reason__c,Best_Offer_Opt_Out__c,Sensitive_Customer__c
1001,Maya Donnelly,849,38,Solar Saver,2,0,none,,,true,job loss,false,false
1002,Rohan Kim,300,49,Solar Saver,2,0,requested,,,true,medical costs,false,false
1003,Sofia Bashir,214,41,Time-of-Use Plus,0,0,exited,2025-11-08,,false,,false,false
1004,Ruby Camilleri,462,214,Hardship Saver,1,2,active,2026-05-11,2026-10-04,true,separation,false,true
1005,Zara Deng,194,80,Everyday Saver,1,1,none,,,true,rental stress,false,false
1006,Isla Webb,2032,186,Time-of-Use Plus,2,2,none,,,false,,true,false
1007,Freya Haddad,475,25,Solar Saver,1,0,none,,,true,bereavement,false,false
1008,Grace Whitlock,3,7,Standard Flexi,0,1,none,,,false,,false,false
1009,Nadia Donnelly,1881,212,Time-of-Use Plus,2,3,none,,,false,,false,false
1010,Marcus Quinn,1049,245,Everyday Saver,2,1,none,,,false,,false,false
1011,Aisha Nakamura,154,20,Solar Saver,0,1,exited,2025-08-01,,false,,false,false
1012,Leilani Forsyth,1513,95,Assisted Essentials,0,1,active,2026-07-12,2026-08-26,true,reduced work hours,false,false
1013,Ethan Bashir,305,80,Time-of-Use Plus,1,1,requested,,,true,medical costs,false,false
1014,Aisha Vargas,1487,149,Everyday Saver,3,1,none,,,false,,true,false
1015,Caleb Forsyth,167,29,Solar Saver,2,2,none,,,true,rental stress,true,false
1016,Elena Haddad,2211,126,Time-of-Use Plus,3,0,none,,,true,job loss,true,false
1017,Mateo Mahmoud,1110,84,Hardship Saver,0,2,active,2026-07-07,2026-09-26,true,job loss,false,false
1018,Sofia Donnelly,535,54,Standard Flexi,2,1,requested,,,false,,true,false
1019,Elena Vargas,1946,116,Standard Flexi,3,2,none,,,true,bereavement,false,false
1020,Leila Haddad,26,15,Standard Flexi,0,1,none,,,false,,false,false
1021,Felix Silva,1978,218,Time-of-Use Plus,4,1,none,,,true,medical costs,false,false
1022,Enzo Rossi,21,15,Everyday Saver,0,0,none,,,false,,false,false
1023,Blake Sharma,55,11,Standard Flexi,0,1,none,,,false,,false,false
1024,Enzo Brennan,1944,182,Time-of-Use Plus,2,0,none,,,true,bereavement,true,false
1025,Noah Adeyemi,348,81,Time-of-Use Plus,1,0,none,,,false,,false,false
1026,Blake Fraser,413,39,Solar Saver,2,1,none,,,true,separation,false,false
1027,Ken Camilleri,614,43,Solar Saver,1,1,none,,,true,business downturn,false,false
1028,Jia Larsen,966,297,Hardship Saver,2,1,active,2026-07-24,2026-09-17,true,bereavement,false,false
1029,Leila Haddad,2283,204,Hardship Saver,0,1,active,2026-04-02,2026-12-08,true,job loss,false,false
1030,Ken Lombardi,716,26,Everyday Saver,2,1,requested,,,false,,false,false
1031,Fatima Nakamura,72,20,Solar Saver,0,1,none,,,false,,false,false
1032,Marcus Larsen,1069,241,Solar Saver,3,0,none,,,true,separation,false,false
1033,Ethan Brennan,88,15,Standard Flexi,0,1,none,,,false,,true,false
1034,Liam Tupou,107,15,Everyday Saver,0,0,none,,,false,,false,false
1035,Leila Faletau,247,26,Standard Flexi,0,1,exited,2025-09-12,,false,,false,false
1036,Yuki Raman,2958,157,Time-of-Use Plus,4,2,none,,,true,carer responsibilities,false,false
1037,Ken Larsen,623,32,Everyday Saver,2,1,none,,,false,,false,false
1038,Lucas Fraser,509,59,Everyday Saver,1,0,none,,,true,reduced work hours,false,false
1039,Noah Muller,638,109,Assisted Essentials,0,3,active,2026-03-08,2026-12-15,true,reduced work hours,false,true
